                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3547,                0.92256,                 1.1629,                0.57613,                0.65482,                0.60358,                0.38334,                  1.286,                0.67887,                  1.194,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.3319,                0.76517,                 1.1484,                0.53342,                0.66581,                0.57615,                0.36403,                 1.2958,                0.70604,                 1.1922,              0.0065529,              0.0065529,              0.0065529
                      3,                 1.3586,                0.78266,                 1.1687,                0.54065,                0.62305,                0.57648,                  0.345,                 1.3122,                0.69957,                 1.2183,              0.0096663,              0.0096663,              0.0096663
                      4,                 1.3575,                0.77156,                 1.1755,                0.51865,                0.61098,                0.53788,                0.33737,                 1.3053,                0.70316,                 1.2113,               0.009505,               0.009505,               0.009505
                      5,                 1.3386,                0.75132,                 1.1699,                0.55686,                0.59582,                0.59861,                 0.3728,                 1.2907,                0.66758,                 1.2073,               0.009505,               0.009505,               0.009505
                      6,                 1.3239,                0.73073,                 1.1685,                0.55895,                 0.5971,                0.60536,                0.37569,                 1.2803,                0.65475,                 1.1997,                0.00934,                0.00934,                0.00934
                      7,                 1.3117,                0.72163,                 1.1602,                0.60659,                0.59824,                0.62345,                0.39264,                 1.2709,                0.65514,                 1.1997,               0.009175,               0.009175,               0.009175
                      8,                 1.3008,                0.70869,                 1.1595,                0.58737,                0.59752,                0.60325,                0.39242,                 1.2698,                0.66311,                 1.1938,                0.00901,                0.00901,                0.00901
                      9,                 1.2965,                0.70779,                 1.1561,                0.58977,                0.65178,                0.61984,                0.39586,                 1.2629,                0.63315,                 1.1924,               0.008845,               0.008845,               0.008845
                     10,                 1.2874,                0.70388,                 1.1542,                0.58653,                0.59738,                0.60916,                0.39357,                 1.2645,                0.63469,                 1.1943,                0.00868,                0.00868,                0.00868
                     11,                 1.2804,                0.69339,                 1.1498,                 0.5933,                0.63169,                0.63181,                0.42208,                 1.2589,                0.63406,                 1.1907,               0.008515,               0.008515,               0.008515
                     12,                   1.28,                0.69329,                 1.1466,                0.57645,                0.64595,                0.64156,                 0.4215,                  1.247,                0.62784,                 1.1856,                0.00835,                0.00835,                0.00835
                     13,                 1.2677,                0.68673,                 1.1411,                0.59863,                 0.6548,                 0.6425,                 0.4277,                 1.2498,                0.62331,                 1.1853,               0.008185,               0.008185,               0.008185
                     14,                   1.27,                0.68677,                 1.1408,                0.57216,                0.67461,                0.63512,                0.41955,                 1.2459,                0.63139,                 1.1827,                0.00802,                0.00802,                0.00802
                     15,                 1.2614,                0.67681,                 1.1362,                0.56193,                0.67639,                 0.6418,                0.42213,                 1.2438,                0.62093,                 1.1812,               0.007855,               0.007855,               0.007855
                     16,                 1.2573,                0.67576,                 1.1399,                 0.6043,                0.60896,                0.63702,                0.42392,                 1.2364,                0.61938,                 1.1794,                0.00769,                0.00769,                0.00769
                     17,                  1.255,                0.67815,                 1.1342,                0.61697,                0.68362,                0.66435,                0.44015,                 1.2389,                  0.618,                 1.1767,               0.007525,               0.007525,               0.007525
                     18,                 1.2523,                0.67581,                 1.1341,                0.54873,                0.70838,                0.65222,                0.43397,                 1.2338,                0.61859,                 1.1767,                0.00736,                0.00736,                0.00736
                     19,                 1.2544,                0.67355,                 1.1319,                0.62572,                0.65409,                0.66167,                0.44323,                 1.2312,                0.61192,                 1.1747,               0.007195,               0.007195,               0.007195
                     20,                 1.2423,                0.66688,                  1.131,                0.62172,                0.63657,                0.66065,                 0.4423,                 1.2367,                0.60916,                 1.1745,                0.00703,                0.00703,                0.00703
                     21,                 1.2466,                0.66963,                 1.1315,                0.60488,                0.66525,                0.67273,                0.44614,                  1.231,                0.61112,                 1.1761,               0.006865,               0.006865,               0.006865
                     22,                 1.2367,                0.66237,                 1.1297,                 0.5892,                0.70306,                0.66552,                0.44441,                 1.2299,                0.60614,                 1.1735,                 0.0067,                 0.0067,                 0.0067
                     23,                 1.2376,                0.65827,                 1.1247,                0.57561,                0.70359,                 0.6569,                0.44446,                  1.228,                0.60687,                 1.1707,               0.006535,               0.006535,               0.006535
                     24,                 1.2374,                0.66004,                  1.127,                0.57572,                0.71692,                0.67638,                 0.4539,                  1.228,                0.60351,                 1.1734,                0.00637,                0.00637,                0.00637
                     25,                 1.2343,                0.66069,                 1.1277,                0.57917,                 0.6901,                 0.6647,                0.44475,                  1.227,                0.60201,                 1.1691,               0.006205,               0.006205,               0.006205
                     26,                 1.2257,                0.65282,                 1.1217,                0.60992,                0.67382,                0.65547,                0.43906,                 1.2285,                0.60374,                 1.1692,                0.00604,                0.00604,                0.00604
                     27,                 1.2219,                0.65134,                 1.1181,                0.57889,                0.70378,                0.66673,                0.45266,                 1.2235,                0.60388,                 1.1681,               0.005875,               0.005875,               0.005875
                     28,                 1.2272,                0.65394,                 1.1225,                0.60578,                0.68135,                0.65862,                0.44145,                 1.2264,                0.60226,                  1.167,                0.00571,                0.00571,                0.00571
                     29,                 1.2192,                 0.6458,                 1.1166,                0.64073,                0.64548,                0.68032,                 0.4624,                 1.2225,                0.60174,                 1.1646,               0.005545,               0.005545,               0.005545
                     30,                 1.2183,                0.64651,                  1.115,                0.61984,                0.67351,                 0.6753,                0.45536,                 1.2189,                0.60197,                 1.1648,                0.00538,                0.00538,                0.00538
                     31,                 1.2151,                0.64166,                 1.1136,                0.55564,                0.71667,                0.67338,                0.45401,                 1.2252,                0.59478,                 1.1668,               0.005215,               0.005215,               0.005215
                     32,                 1.2151,                0.64709,                 1.1177,                0.59827,                0.68481,                0.68016,                0.46041,                 1.2169,                0.59654,                 1.1638,                0.00505,                0.00505,                0.00505
                     33,                  1.212,                0.64172,                 1.1094,                0.61585,                0.69105,                 0.6804,                0.46182,                 1.2176,                0.59912,                  1.164,               0.004885,               0.004885,               0.004885
                     34,                 1.2029,                 0.6411,                 1.1132,                0.56104,                0.73382,                0.65741,                 0.4459,                 1.2175,                0.59647,                 1.1646,                0.00472,                0.00472,                0.00472
                     35,                 1.2052,                0.63361,                 1.1089,                0.58096,                0.71336,                0.67245,                0.45642,                 1.2196,                 0.5943,                 1.1627,               0.004555,               0.004555,               0.004555
                     36,                 1.2011,                0.63488,                 1.1086,                0.58712,                0.69991,                0.65728,                0.44455,                 1.2177,                0.59705,                 1.1636,                0.00439,                0.00439,                0.00439
                     37,                  1.202,                0.63652,                 1.1119,                0.60498,                0.67322,                0.66415,                0.45023,                 1.2188,                0.59738,                 1.1652,               0.004225,               0.004225,               0.004225
                     38,                 1.1988,                0.63173,                 1.1061,                0.60417,                0.68682,                0.67549,                0.45464,                  1.218,                0.59845,                  1.165,                0.00406,                0.00406,                0.00406
                     39,                 1.1905,                0.62813,                 1.1018,                 0.6197,                0.66711,                0.67649,                0.45782,                 1.2158,                 0.5981,                 1.1623,               0.003895,               0.003895,               0.003895
                     40,                 1.1862,                0.62225,                 1.1018,                0.61065,                 0.6961,                0.67797,                0.46491,                  1.222,                0.59265,                 1.1648,                0.00373,                0.00373,                0.00373
                     41,                 1.1878,                0.61985,                 1.1011,                0.59205,                 0.6905,                0.67751,                0.46236,                  1.219,                0.59332,                 1.1628,               0.003565,               0.003565,               0.003565
