                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.1846,                0.62325,                 1.1001,                0.62166,                0.70252,                0.67466,                 0.4589,                 1.2181,                0.59673,                 1.1622,                 0.0034,                 0.0034,                 0.0034
                     43,                 1.1787,                 0.6177,                 1.0995,                0.59461,                0.70931,                0.67711,                0.46186,                 1.2194,                0.59475,                 1.1627,               0.003235,               0.003235,               0.003235
                     44,                 1.1761,                0.61369,                 1.0986,                0.60351,                0.69943,                0.67541,                0.46021,                 1.2198,                0.59374,                  1.163,                0.00307,                0.00307,                0.00307
                     45,                 1.1794,                0.61694,                 1.0996,                0.58298,                0.72154,                0.66791,                0.45511,                 1.2195,                0.59511,                 1.1629,               0.002905,               0.002905,               0.002905
                     46,                 1.1706,                0.60741,                 1.0951,                0.57231,                0.72432,                0.67203,                0.45905,                 1.2207,                0.59584,                 1.1641,                0.00274,                0.00274,                0.00274
                     47,                 1.1661,                0.60917,                 1.0925,                0.61836,                0.67577,                0.67373,                0.46151,                 1.2224,                0.59608,                 1.1651,               0.002575,               0.002575,               0.002575
                     48,                 1.1589,                0.60609,                 1.0902,                0.59264,                0.70646,                0.67538,                0.46347,                 1.2236,                0.59708,                  1.165,                0.00241,                0.00241,                0.00241
                     49,                 1.1597,                0.60593,                 1.0934,                0.59631,                0.68643,                0.67968,                0.46688,                  1.225,                0.59949,                 1.1655,               0.002245,               0.002245,               0.002245
                     50,                 1.1487,                0.60086,                 1.0902,                0.62798,                0.66043,                0.67498,                 0.4612,                 1.2272,                0.60046,                 1.1665,                0.00208,                0.00208,                0.00208
                     51,                 1.1568,                 0.5866,                 1.1253,                0.63819,                 0.6524,                0.67115,                0.45369,                 1.2285,                0.60286,                 1.1676,               0.001915,               0.001915,               0.001915
                     52,                 1.1528,                0.58207,                 1.1263,                0.63473,                0.65127,                0.66847,                0.45175,                 1.2301,                0.60301,                 1.1686,                0.00175,                0.00175,                0.00175
                     53,                 1.1462,                0.57703,                 1.1243,                0.62216,                0.66956,                0.66766,                0.45299,                 1.2322,                0.60375,                 1.1695,               0.001585,               0.001585,               0.001585
                     54,                 1.1427,                0.57558,                 1.1198,                0.64121,                0.66331,                0.66562,                0.45144,                 1.2341,                0.60489,                 1.1707,                0.00142,                0.00142,                0.00142
                     55,                 1.1322,                0.56924,                  1.117,                0.63015,                0.67138,                0.66256,                0.44896,                 1.2355,                0.60573,                  1.172,               0.001255,               0.001255,               0.001255
                     56,                 1.1233,                0.56408,                 1.1121,                0.61901,                0.65665,                 0.6555,                0.44257,                 1.2384,                 0.6065,                 1.1738,                0.00109,                0.00109,                0.00109
                     57,                 1.1176,                0.55887,                 1.1111,                0.62603,                0.64978,                0.65359,                0.44177,                 1.2396,                0.60753,                 1.1752,               0.000925,               0.000925,               0.000925
                     58,                 1.1127,                0.55727,                 1.1063,                0.61117,                0.65646,                0.65193,                0.44017,                 1.2412,                0.60857,                 1.1764,                0.00076,                0.00076,                0.00076
                     59,                 1.1066,                0.55228,                 1.1046,                0.62053,                0.65123,                0.64839,                0.43635,                  1.243,                0.60999,                 1.1772,               0.000595,               0.000595,               0.000595
                     60,                 1.0978,                0.54779,                 1.1007,                0.64307,                0.63295,                0.64964,                0.43742,                  1.245,                0.61085,                 1.1782,                0.00043,                0.00043,                0.00043
