                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4558,                 1.2344,                 1.0995,                 0.5067,                0.56471,                0.51921,                0.30755,                 1.3138,                0.89429,                 1.0937,             0.00047579,             0.00047579,             0.00047579
                      2,                 1.3725,                0.87396,                 1.0841,                0.49817,                0.57868,                 0.5128,                0.30175,                  1.336,                0.80605,                 1.1043,             0.00063792,             0.00063792,             0.00063792
                      3,                 1.3412,                0.80874,                 1.0738,                 0.5947,                0.62057,                0.58641,                0.36451,                 1.2879,                 0.7588,                 1.0912,             0.00048567,             0.00048567,             0.00048567
