                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4777,                 1.4264,                 1.1115,                0.46065,                0.63734,                0.51928,                   0.31,                 1.3139,                0.98708,                 1.0911,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.4034,                 1.0165,                 1.0908,                0.50084,                0.60916,                0.53952,                0.31996,                 1.3305,                0.88464,                 1.1164,              0.0065529,              0.0065529,              0.0065529
                      3,                 1.4131,                0.94264,                 1.1064,                0.50927,                0.63479,                 0.5495,                0.33506,                 1.3414,                0.82294,                 1.1366,              0.0096663,              0.0096663,              0.0096663
                      4,                 1.4062,                0.87719,                 1.1143,                0.53043,                0.59804,                0.55029,                0.33929,                 1.3165,                0.79975,                 1.1328,               0.009505,               0.009505,               0.009505
                      5,                 1.3898,                0.84006,                 1.1133,                  0.549,                0.54639,                0.52717,                0.32512,                 1.3011,                0.75098,                 1.1278,               0.009505,               0.009505,               0.009505
                      6,                 1.3745,                0.81223,                 1.1128,                0.62805,                0.58331,                0.57886,                0.35617,                 1.3016,                0.74253,                 1.1292,                0.00934,                0.00934,                0.00934
                      7,                 1.3649,                0.79373,                  1.107,                0.52248,                0.59561,                0.55931,                0.34579,                 1.2992,                0.70997,                 1.1348,               0.009175,               0.009175,               0.009175
                      8,                 1.3537,                0.77885,                 1.1054,                0.52907,                0.62334,                0.57658,                0.36267,                 1.2966,                0.71932,                 1.1296,                0.00901,                0.00901,                0.00901
                      9,                 1.3503,                0.77385,                 1.1038,                 0.5347,                0.64318,                0.57741,                0.36939,                  1.293,                0.69843,                  1.128,               0.008845,               0.008845,               0.008845
                     10,                 1.3423,                0.76345,                 1.1046,                0.59804,                0.62029,                0.59935,                 0.3735,                 1.3063,                0.69204,                 1.1387,                0.00868,                0.00868,                0.00868
                     11,                 1.3379,                0.75021,                 1.1036,                0.55071,                0.62162,                0.58463,                0.37396,                 1.2924,                0.68081,                  1.132,               0.008515,               0.008515,               0.008515
                     12,                  1.335,                0.75011,                 1.1002,                0.53537,                0.65301,                0.59402,                0.37458,                 1.2779,                0.68433,                 1.1286,                0.00835,                0.00835,                0.00835
                     13,                 1.3241,                0.73974,                 1.0984,                0.53235,                0.68082,                0.59975,                0.38007,                 1.2853,                 0.6746,                 1.1267,               0.008185,               0.008185,               0.008185
                     14,                 1.3277,                0.73921,                 1.0998,                0.54715,                 0.6645,                 0.6193,                0.39426,                 1.2784,                0.67188,                 1.1273,                0.00802,                0.00802,                0.00802
                     15,                  1.319,                0.73033,                 1.0958,                0.56794,                0.63574,                0.60916,                0.39455,                 1.2791,                0.66177,                 1.1243,               0.007855,               0.007855,               0.007855
                     16,                 1.3133,                0.72764,                 1.0973,                0.55573,                0.66726,                0.60689,                0.38439,                 1.2702,                0.66256,                 1.1225,                0.00769,                0.00769,                0.00769
                     17,                 1.3135,                0.72806,                 1.0961,                0.56193,                0.64583,                0.61593,                0.39848,                 1.2651,                0.65634,                 1.1253,               0.007525,               0.007525,               0.007525
                     18,                 1.3124,                0.72503,                  1.097,                0.58906,                0.63459,                0.63088,                  0.407,                 1.2646,                0.65111,                 1.1235,                0.00736,                0.00736,                0.00736
                     19,                 1.3142,                0.72433,                 1.0949,                0.57888,                0.66582,                0.62154,                0.40804,                 1.2669,                 0.6514,                 1.1213,               0.007195,               0.007195,               0.007195
                     20,                 1.3028,                0.71498,                 1.0933,                0.59105,                0.59597,                0.61793,                0.40598,                 1.2659,                0.64648,                 1.1232,                0.00703,                0.00703,                0.00703
                     21,                 1.3071,                 0.7187,                 1.0938,                0.57338,                0.65352,                0.62207,                0.40423,                  1.262,                0.64662,                 1.1211,               0.006865,               0.006865,               0.006865
                     22,                 1.2982,                0.71482,                 1.0926,                0.57648,                0.65415,                0.63427,                0.41553,                 1.2579,                0.64228,                 1.1182,                 0.0067,                 0.0067,                 0.0067
                     23,                 1.2971,                0.70793,                 1.0897,                0.56023,                 0.6688,                 0.6402,                0.42356,                 1.2557,                 0.6447,                 1.1185,               0.006535,               0.006535,               0.006535
                     24,                 1.2974,                0.70833,                  1.092,                0.55212,                0.71332,                0.63914,                0.41699,                 1.2551,                0.63645,                 1.1216,                0.00637,                0.00637,                0.00637
                     25,                 1.2964,                0.71001,                 1.0919,                0.55868,                0.64603,                0.64128,                0.41954,                 1.2538,                0.63465,                 1.1156,               0.006205,               0.006205,               0.006205
                     26,                 1.2874,                0.70259,                 1.0882,                0.59457,                0.64513,                0.64874,                0.43051,                  1.255,                0.63252,                 1.1167,                0.00604,                0.00604,                0.00604
                     27,                 1.2856,                0.69932,                 1.0858,                0.61841,                0.63274,                0.65485,                0.42821,                 1.2541,                0.63258,                 1.1189,               0.005875,               0.005875,               0.005875
                     28,                 1.2904,                0.70111,                 1.0925,                0.52825,                0.72841,                 0.6499,                0.42353,                 1.2516,                0.63074,                 1.1174,                0.00571,                0.00571,                0.00571
                     29,                 1.2841,                0.69421,                 1.0866,                0.61076,                 0.6271,                 0.6481,                0.42723,                 1.2477,                0.63038,                 1.1152,               0.005545,               0.005545,               0.005545
                     30,                 1.2829,                0.69381,                 1.0842,                0.58153,                0.69262,                0.64842,                0.42598,                 1.2488,                0.62927,                 1.1156,                0.00538,                0.00538,                0.00538
                     31,                 1.2788,                0.69251,                 1.0839,                0.61707,                0.65256,                0.65552,                0.43704,                 1.2486,                0.62454,                 1.1139,               0.005215,               0.005215,               0.005215
                     32,                  1.281,                0.69678,                 1.0867,                0.57411,                0.68614,                0.65377,                0.43141,                 1.2464,                0.62389,                 1.1147,                0.00505,                0.00505,                0.00505
                     33,                 1.2792,                0.69005,                 1.0801,                0.59031,                0.68328,                0.66438,                0.43931,                 1.2445,                0.62292,                 1.1117,               0.004885,               0.004885,               0.004885
                     34,                 1.2721,                0.69212,                 1.0822,                0.62262,                0.64948,                0.65726,                0.43408,                 1.2457,                0.62008,                 1.1139,                0.00472,                0.00472,                0.00472
                     35,                  1.273,                0.68354,                 1.0793,                0.59521,                 0.6553,                0.65577,                0.43284,                 1.2438,                0.61779,                 1.1134,               0.004555,               0.004555,               0.004555
